Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Kjønn (product.metafields.custom.kj_nn),Kursholder (product.metafields.custom.kursholder),Kurstype (product.metafields.custom.kurstype),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Aldersgruppe (product.metafields.shopify.age-group),Klubb undersett (product.metafields.shopify.club-subset),Klubbtype (product.metafields.shopify.club-type),Farge (product.metafields.shopify.color-pattern),Golfballtype (product.metafields.shopify.golf-ball-type),Håndside (product.metafields.shopify.hand-side),Materiale (product.metafields.shopify.material),Skofunksjoner (product.metafields.shopify.shoe-features),Skostørrelse (product.metafields.shopify.shoe-size),Målkjønn (product.metafields.shopify.target-gender),Komplimentære produkter (product.metafields.shopify--discovery--product_recommendation.complementary_products),Relaterte produkter (product.metafields.shopify--discovery--product_recommendation.related_products),Innstillinger for relaterte produkter (product.metafields.shopify--discovery--product_recommendation.related_products_display),Søk i produktboostinger (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
scotty-cameron-super-select-newport,Scotty Cameron Super Select,"<p><strong>Scotty Cameron Super Select Newport Plus</strong><span> </span>er en imponerende golfputter som kombinerer stil, presisjon og ytelse. La oss utforske denne putteren nærmere:</p>
<ul>
<li>
<p><strong>Design og Formål</strong>:</p>
<ul>
<li>
<strong>Newport Plus</strong><span> </span>har en<span> </span><strong>innovativ, litt bredere profil</strong><span> </span>enn standard bladputtere. Dette gir en unik og selvsikker visning fra adressen og øker<span> </span><strong>MOI</strong><span> </span>(motstand mot vridning) samtidig som den bevarer det klassiske utseendet og rene alignmentet assosiert med bladputtere.</li>
<li>Den har en<span> </span><strong>multimateriell konstruksjon</strong><span> </span>som kombinerer 303 rustfritt stål med en presisjonsfrest 6061 flykropp i aluminium. Dette gir riktig vektfordeling, balanse og følelse.</li>
</ul>
</li>
</ul>",Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Clubs,Utstyr,"Golfkøller, Scotty, Scotty Cameron",true,Størrelse,"33""",,Stil,Newport,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0680/4255/5650/files/1_aaf2d055-51bb-4835-a30e-ba947c356dc1.jpg?v=1710752488,1,"",false,,,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,active
scotty-cameron-super-select-newport,,,,,,,,,"34""",,,Newport,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,'196665255036,https://cdn.shopify.com/s/files/1/0680/4255/5650/files/scotty_cameron_ss_newport_plus_2.webp?v=1710752488,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"35""",,,Newport,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,'196665255043,https://cdn.shopify.com/s/files/1/0680/4255/5650/files/scotty_cameron_ss_newport_plus_3.webp?v=1710752488,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"33""",,,Newport 2,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0680/4255/5650/files/DEB43EE6-9557-47EE-BAD7-31D42D1234C0.jpg?v=1713526183,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"33""",,,Newport plus,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"33""",,,Newport 2 plus,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"33""",,,Squareback 2,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"33""",,,Fastback 1.5,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"34""",,,Newport 2,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,'196665255098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
scotty-cameron-super-select-newport,,,,,,,,,"34""",,,Newport plus,,,,,"",0.0,shopify,deny,manual,5999.00,,true,true,,,,,'196665255067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,3650.00,
